timestamp,energy_consumption,city,building_id,floor,power_factor,voltage,current,power_consumption,energy_cost,energy_source,energy_provider,energy_usage_category,energy_savings
13/02/2023,87.56,Chennai,46,7,0.98,216.5,2.19,363.43,379.17,nuclear,Brainverse,residential,15.2
21/06/2023,666.84,Kolkata,47,6,0.66,139.7,7.56,394.95,965.05,natural gas,Blogtags,governmental,64.9
10/04/2025,682.52,Bangalore,48,6,0.82,180.3,5.63,926.87,961.13,wind mill,Mudo,residential,86
15/03/2025,19.38,Chennai,49,9,0.49,149,9.69,674.11,145.38,biomass,Bubbletube,commercial,57.7
13/01/2025,971.91,Chennai,50,9,0.98,168.4,4.99,400.04,532.71,nuclear,Muxo,residential,83.9
29/04/2024,351.03,Delhi,51,6,0.43,232.6,1.02,565.56,870.41,biomass,Mita,commercial,91.8
29/09/2023,49.55,Mumbai,52,9,0.28,205.9,6.13,403.69,998.88,solar panels,Buzzster,industrial,78.3
25/05/2023,325.83,Mumbai,53,10,0.42,228,2.07,848.81,349.02,natural gas,Buzzbean,transportation,24.7
26/06/2024,955.47,Delhi,54,4,0.62,215.5,6.39,438.81,548.65,nuclear,Flashdog,industrial,78.1
08/02/2023,548.36,Kolkata,55,10,0.98,135,8.6,334.84,256.7,solar panels,Zoomlounge,governmental,93.3
01/02/2024,792.95,Delhi,56,10,0.39,200.1,4.71,13.52,367.31,solar panels,Kare,industrial,10.4
02/02/2024,968.62,Mumbai,57,5,0.36,164.5,6.53,90.77,191.24,nuclear,Kwinu,commercial,27
26/10/2023,263.25,Delhi,58,8,0.05,118.6,9.79,523.17,176.68,wind mill,Yodoo,residential,21
30/06/2023,983.92,Kolkata,59,7,0.31,111.5,2.23,487.47,509.43,solar panels,Mita,industrial,9.9
03/05/2024,861.98,Delhi,60,5,0.96,202.9,1.78,844.82,298.81,wind mill,Kwimbee,transportation,29.5
24/01/2023,533.79,Delhi,61,1,0.3,175.3,9.3,218.72,958.55,nuclear,Yamia,residential,26.9
02/03/2025,510.99,Kolkata,62,10,0.19,130,4.38,895.41,33.08,nuclear,Twitterworks,governmental,89.1
06/01/2023,132.41,Chennai,63,9,0.88,193,5.98,354.32,810.06,solar panels,Jayo,transportation,17.3
08/07/2023,39.34,Bangalore,64,8,0.74,200,6.89,505.13,535.88,natural gas,Twitterlist,industrial,14.9
16/09/2024,473.96,Bangalore,65,5,0.95,192.7,3.02,319.64,701.09,nuclear,Jetwire,governmental,62.1
07/04/2024,762,Mumbai,66,4,0.72,215.6,7.6,89.04,627.96,nuclear,Lajo,residential,1.8
20/09/2024,330.99,Mumbai,67,6,0.48,114.7,1.51,10.81,866.1,wind mill,Jabberbean,governmental,29.4
13/02/2024,512.69,Mumbai,68,10,0.88,232.7,7.82,241.97,862.99,wind mill,Gevee,industrial,30.4
26/07/2024,784.99,Chennai,69,3,0.21,189,9.49,271.25,259.77,solar panels,InnoZ,residential,67.2
16/05/2024,165.14,Bangalore,70,4,0.04,183.6,5.67,90.69,241.96,natural gas,Blogtag,transportation,31.1
20/06/2024,896.42,Chennai,71,4,0.97,144.2,2.28,708.8,734.55,wind mill,Topicstorm,commercial,35.7
01/04/2024,908.27,Bangalore,72,8,0.42,182.7,3.08,223.14,766.25,biomass,Abata,commercial,52.9
23/01/2023,243.92,Chennai,73,6,0.11,153.9,7.5,604.79,336.93,nuclear,Photolist,industrial,13.8
10/08/2024,203.7,Bangalore,74,8,0.59,106,5.43,294.88,277.65,biomass,Gigaclub,transportation,77.9
13/02/2024,587.74,Chennai,75,5,0.33,219.4,9.6,275.21,292.63,wind mill,Skipstorm,governmental,74.1
16/09/2023,725.74,Bangalore,76,9,0.66,153.3,4.81,820.19,975.08,wind mill,Leexo,residential,31.4
10/08/2024,43.95,Mumbai,77,6,0.8,142.1,4.13,713.86,735.8,wind mill,Eare,governmental,61.6
15/06/2023,388,Kolkata,78,4,0.86,130,8.45,193.76,665.89,nuclear,Skiba,transportation,29
05/08/2023,660.99,Bangalore,79,2,0.22,160.1,5.16,29.34,456.11,solar panels,Tazz,transportation,99.3
29/03/2023,458.48,Chennai,80,5,0.24,155.7,5.25,659.9,750.2,biomass,Zoomdog,transportation,79.1
19/10/2023,694.39,Chennai,81,5,0.16,130.2,7.13,771.58,105.73,nuclear,Zoonoodle,transportation,40.6
27/01/2025,933.12,Bangalore,82,1,0.8,102.1,0.31,477.3,807.04,biomass,Skyvu,commercial,29.5
23/02/2025,597.84,Chennai,83,2,0.42,172.8,9.22,257.61,805.69,solar panels,Zazio,industrial,64.7
03/12/2024,858.14,Kolkata,84,5,0.56,166.7,2.08,873.6,808.95,nuclear,Gabspot,residential,84.5
15/06/2023,118.92,Bangalore,85,5,0.36,137.2,1.22,169.61,677.58,nuclear,Wordify,transportation,65.9
16/07/2024,799.19,Kolkata,86,10,0.99,204.4,4.6,398.42,446.3,solar panels,Brainverse,governmental,96.2
13/10/2024,810.93,Mumbai,87,8,0.63,169.9,9.49,634.36,664.43,solar panels,Meejo,commercial,38.5
19/05/2023,816.8,Bangalore,88,1,0.35,156.1,9.94,310.37,135.57,wind mill,Dynabox,transportation,7.2
18/02/2023,220.01,Mumbai,89,3,0.98,230.6,2.74,448.63,609.81,solar panels,Midel,residential,50.6
18/01/2025,24.36,Bangalore,90,8,0.9,116.2,5.03,234.38,873.86,biomass,Kwilith,industrial,20.7
06/03/2023,632.01,Chennai,91,4,0.56,155,9.09,166.52,783.3,natural gas,Wordify,residential,61.4
22/09/2023,411.72,Mumbai,92,7,0.23,133.6,9.04,115.41,661.41,biomass,Plajo,governmental,66.6
12/09/2023,664.34,Bangalore,93,7,0.96,212.4,2.38,46.06,608.14,natural gas,LiveZ,industrial,53.1
23/07/2024,247.95,Chennai,94,7,0.3,239.1,8.83,888.86,373.31,wind mill,Trupe,commercial,54.3
14/07/2023,257.61,Delhi,95,3,0.05,217.6,6.06,436.39,559.93,wind mill,Realmix,transportation,18.9
08/02/2024,581.99,Kolkata,96,4,0.68,126.7,5.08,837.84,387.78,solar panels,Kwilith,transportation,92.9
13/02/2023,584.92,Mumbai,97,2,0.32,217.3,2.8,976.78,837.55,nuclear,Kayveo,industrial,28.2
15/08/2023,833.92,Bangalore,98,8,0.04,239,1.67,353.02,905.99,wind mill,Edgewire,commercial,75.3
16/10/2023,109.82,Mumbai,99,3,0.03,155.9,4.43,75.69,34.54,nuclear,Eare,residential,76.4
01/08/2023,116.79,Bangalore,100,8,0.61,210.4,6.53,272.04,87.83,solar panels,Ailane,industrial,84.8
29/11/2023,974.4,Bangalore,101,3,0.35,237.3,6.45,557.28,61.45,solar panels,Kwideo,governmental,65.9
05/04/2024,455.52,Bangalore,102,10,0.93,109.4,0.12,617.35,937.98,wind mill,Leexo,residential,67.6
06/11/2024,551.74,Mumbai,103,3,0.76,161.3,2.46,728.5,604.69,natural gas,Eire,governmental,19.3
13/01/2023,828.29,Bangalore,104,8,0.75,125.9,9.26,855.51,323.72,natural gas,Babbleopia,residential,36.5
12/01/2025,934.25,Mumbai,105,4,0.15,127.6,9.3,228.97,303.84,nuclear,Fliptune,commercial,75
23/11/2022,779.34,Bangalore,106,6,0.94,222.4,3.75,410.17,380.25,wind mill,Youfeed,commercial,21.7
26/12/2024,693.24,Bangalore,107,8,0.09,115.4,3.62,39.13,882.58,wind mill,Quinu,residential,52.9
11/06/2023,462.52,Delhi,108,6,0.91,111.2,1.74,511.29,605.93,nuclear,Mudo,residential,1.7
30/11/2022,325.36,Chennai,109,5,0.81,134,1.18,766.15,318.73,wind mill,Aivee,governmental,47.3
30/06/2024,328.83,Chennai,110,7,0.83,211.9,1.03,263.46,910.49,natural gas,Agimba,transportation,80.5
12/03/2024,599.56,Chennai,111,8,0.07,124.7,5.79,477.3,763.33,natural gas,Skyba,residential,67.7
18/02/2023,117.79,Kolkata,112,6,0.71,135.4,9.63,320.96,413.24,biomass,Photospace,transportation,57.2
20/07/2024,636.63,Bangalore,113,8,0.17,133.5,8.76,702.86,71.82,wind mill,Devpulse,industrial,83.8
16/10/2023,158.2,Delhi,114,9,0.53,162.2,6.99,570.34,469.73,biomass,Innotype,industrial,13.9
08/09/2023,241.51,Kolkata,115,9,0.45,170.3,8.48,798.59,975.49,solar panels,Quinu,transportation,91.7
17/12/2023,638.77,Chennai,116,6,0.74,216.9,4.87,976.66,988.78,natural gas,LiveZ,transportation,49
11/09/2023,530.51,Chennai,117,8,0.91,115.9,2.23,790.36,520.63,wind mill,Realblab,transportation,83.6
09/01/2025,632.18,Bangalore,118,8,0.65,104.1,1.61,620.72,796.42,wind mill,Camido,transportation,75.3
18/07/2024,274.41,Delhi,119,6,0.91,218.8,4.21,401.76,353,solar panels,Wikizz,residential,92.7
05/10/2023,537.13,Delhi,120,4,0.94,169.9,4.64,513.47,665.81,solar panels,Edgeclub,residential,76.9
14/01/2024,619.4,Delhi,121,5,0.68,233,6.58,169.65,716.91,nuclear,Thoughtstorm,industrial,73.6
06/10/2024,857.8,Delhi,122,2,0.69,188.8,9.39,410.48,479.03,wind mill,Trudoo,transportation,37.4
15/09/2023,327.68,Kolkata,123,5,0.61,102.3,3.25,925.64,560.86,solar panels,Trudeo,residential,65.4
15/11/2023,258.39,Kolkata,124,8,0.3,192,4.07,674.86,293.61,nuclear,Lazz,commercial,82.9
15/03/2023,321.71,Bangalore,125,3,0.36,193.6,5.94,959.29,239.31,natural gas,Devpulse,transportation,51.2
17/09/2023,614.06,Chennai,126,7,0.42,231.8,0.12,39.33,857.21,solar panels,Izio,industrial,52.1
21/11/2023,819.08,Chennai,127,2,0.04,123.5,6.46,305.47,200.83,natural gas,Skippad,residential,4.3
01/07/2024,743.64,Delhi,128,6,0.03,175.5,4.06,382.12,551.61,wind mill,Skyndu,commercial,30.3
11/04/2024,658.3,Bangalore,129,8,0.22,206.9,7.83,31.71,481.68,natural gas,Katz,transportation,47.7
28/04/2023,994.22,Mumbai,130,5,0.09,129.5,7.91,159.32,552.77,solar panels,Yodo,transportation,56.3
12/08/2023,712.19,Delhi,131,6,0.01,203.9,0.59,343.94,726.97,nuclear,Ntag,residential,60.7
11/03/2023,309.21,Mumbai,132,5,0.93,230.9,4.36,999.04,471.33,solar panels,Topicstorm,governmental,7.5
07/01/2024,459.93,Kolkata,133,3,0.39,189.9,0.53,903.18,703.46,biomass,Zoombox,governmental,88.3
16/09/2024,357.52,Bangalore,134,7,0.52,104.1,3.46,166.4,722.81,biomass,Minyx,commercial,58.1
11/02/2023,374.06,Bangalore,135,3,0.46,193.7,6.29,71.06,823.65,wind mill,Voonder,commercial,46.7
02/07/2024,58.93,Chennai,136,8,0.12,219.5,3.89,96.67,313.01,biomass,Rhyloo,residential,83.4
26/08/2023,742.54,Delhi,137,1,0.85,159.6,3.19,248.45,18.54,natural gas,Jazzy,governmental,77.4
20/07/2024,456.34,Kolkata,138,8,0.39,201,0.13,123.65,315.37,nuclear,Tanoodle,governmental,19.9
26/12/2022,609.28,Delhi,139,1,0.4,135.6,7.18,74.13,219.51,solar panels,Gigazoom,governmental,23.3
02/04/2025,68,Mumbai,140,6,0.14,107.3,1.06,746.42,575.27,wind mill,Dabjam,industrial,70.9
06/11/2024,41.26,Mumbai,141,2,0.7,182.5,2.02,796.54,607.91,solar panels,Gabcube,governmental,59
11/06/2023,969.95,Delhi,142,8,0.13,128.1,2.4,523.28,197.07,natural gas,Dabtype,industrial,41.6
24/03/2025,679.91,Kolkata,143,5,0.3,197.2,8.72,158.75,43.35,natural gas,Lajo,transportation,1.2
23/07/2024,134.21,Kolkata,144,7,0.74,103.3,7.85,473.41,656.61,nuclear,Devpoint,industrial,90.6
02/10/2023,845.89,Kolkata,145,2,0.65,141.7,1.87,26.97,197.68,nuclear,Quimm,commercial,54.5
27/05/2023,738.83,Bangalore,146,9,0.37,173.2,9.8,933.67,739.86,biomass,Fiveclub,commercial,80.1
13/09/2024,934.2,Chennai,147,1,0.95,165.3,0.55,505.07,134.57,biomass,Livetube,governmental,94.1
09/03/2025,152.83,Chennai,148,8,0.43,159.5,8.37,854.34,617.55,wind mill,Cogilith,commercial,51
22/04/2024,117.99,Kolkata,149,8,0.04,170,7.02,78.45,813.92,solar panels,Tambee,residential,7.4
17/12/2023,977.48,Kolkata,150,7,0.95,195.8,5.82,752.97,266.73,natural gas,Kayveo,governmental,62.5
25/03/2024,433.36,Bangalore,151,2,0.47,141.8,8.53,117.16,716.49,biomass,Flashspan,governmental,18.1
08/06/2024,83.96,Mumbai,152,4,0.47,103.1,4.5,531.65,543.17,natural gas,Eamia,industrial,45.2
21/05/2024,751.12,Mumbai,153,9,0.94,220.8,9,894.05,156.16,wind mill,Feedfish,commercial,2.7
14/09/2023,770.45,Delhi,154,2,0.14,229.8,1.38,537.9,915.47,wind mill,Skiptube,commercial,38.4
15/09/2024,879.43,Delhi,155,4,0.45,198.3,6.71,550.27,547.13,biomass,Eayo,transportation,28.3
24/04/2025,197.18,Mumbai,156,1,0.91,133.9,5.22,321.28,834.81,nuclear,Dabvine,industrial,5.6
17/01/2024,941.62,Kolkata,157,5,0.57,197.1,3.63,425.5,553.3,natural gas,Gabtune,transportation,73.9
27/01/2024,589.6,Bangalore,158,2,0.74,173.9,5.66,467.46,95.02,biomass,Myworks,industrial,93.8
17/12/2024,179.81,Chennai,159,10,0.68,127.3,8.8,157.42,857.33,natural gas,Skyble,commercial,73.3
08/07/2023,120.48,Bangalore,160,4,0.53,216.8,3.54,710.67,579.04,biomass,Gigashots,transportation,49.5
26/06/2023,717,Bangalore,161,10,0.53,137,1.77,955.07,342.2,natural gas,JumpXS,governmental,82.3
17/10/2023,177.77,Bangalore,162,5,0.55,177.3,4.07,668.73,2.26,solar panels,Jabbersphere,residential,90.3
23/04/2025,229.61,Kolkata,163,3,0.45,135.9,1.86,317.76,845.29,biomass,Meejo,residential,84
18/05/2024,469.61,Mumbai,164,1,0.94,176.2,0.43,524.64,75.88,natural gas,Browsezoom,industrial,77.7
24/07/2023,950.55,Bangalore,165,7,0.43,131.8,5.35,3.23,119.27,solar panels,Shuffletag,governmental,24.9
23/02/2024,500.27,Bangalore,166,4,0.89,162.5,0.49,441.84,280.95,biomass,Aimbo,transportation,56.1
04/08/2023,227.79,Delhi,167,1,0.04,129.4,4.05,579.28,431.91,biomass,Quinu,transportation,99.4
21/03/2023,207.18,Kolkata,168,4,0.66,225.6,9.75,164.75,905.92,nuclear,Plambee,governmental,53.9
26/08/2023,758.87,Delhi,169,8,0.08,227.1,8.88,769.5,375.63,natural gas,Tekfly,commercial,69.4
26/12/2023,521.92,Bangalore,170,5,0.25,209.4,9.6,137.93,125.59,nuclear,Roodel,residential,7.5
26/09/2024,403.23,Bangalore,171,6,0.27,153.4,5.79,379.64,106.37,solar panels,Ntags,industrial,7.5
24/07/2024,856.4,Mumbai,172,10,0.8,178.5,3.14,73.48,212.17,wind mill,Jaloo,industrial,6.5
14/01/2024,159.25,Bangalore,173,1,0.52,150.1,6.01,963.78,576.33,nuclear,Flashset,governmental,22.4
23/03/2023,506.4,Mumbai,174,3,0,178,6.36,748.56,313.64,natural gas,Buzzshare,industrial,61.4
29/11/2022,93.13,Chennai,175,10,0.28,223.7,0.6,124.67,303.04,wind mill,Zoomcast,residential,9.5
15/01/2023,465.47,Bangalore,176,1,0.24,197.3,5.73,326.31,236.54,nuclear,Realblab,residential,53.7
09/05/2023,623.17,Delhi,177,6,0.94,114.6,9.44,217.93,201.43,natural gas,Meembee,commercial,54.5
25/11/2022,660.96,Kolkata,178,6,0.24,155.4,2.65,923.27,414.23,wind mill,Flashpoint,governmental,73.7
08/03/2024,229.49,Chennai,179,10,0.27,133.3,1.33,838.24,363.54,solar panels,Mymm,industrial,11.4
16/08/2024,794.61,Bangalore,180,2,0.27,132.7,1,263.18,671.84,nuclear,Eadel,governmental,4.3
05/09/2023,56.54,Kolkata,181,8,0.78,153.6,6.66,795.77,175.68,wind mill,Twinder,governmental,0.5
15/04/2025,474.92,Delhi,182,5,0.78,110.6,4.48,462.89,44.01,wind mill,Zoomcast,commercial,6.4
25/11/2023,510.58,Kolkata,183,10,0.08,185.7,8.98,641.42,402.72,biomass,Flashspan,industrial,8
16/12/2023,333.62,Chennai,184,9,0.32,199.2,8.63,914.71,602.92,natural gas,Zoovu,transportation,44.2
10/02/2023,381.98,Mumbai,185,4,0.29,154,3.85,362.17,983.77,biomass,Ailane,industrial,53.4
16/01/2025,944.76,Mumbai,186,7,0.18,196.1,2.48,900.54,86.78,wind mill,Rooxo,residential,2.7
13/03/2024,425.58,Mumbai,187,10,0.47,186.1,7.46,640.73,160.89,nuclear,Lazzy,residential,64.1
27/04/2023,790.08,Delhi,188,6,0.08,197.9,3.92,341.03,696.94,wind mill,Feedmix,transportation,13.8
06/05/2024,673.34,Mumbai,189,6,0.54,154.3,1.43,673.15,686.34,wind mill,Skyble,industrial,31.4
12/02/2024,118.08,Mumbai,190,2,0.55,209.6,3.99,309.81,685.48,nuclear,Demizz,commercial,83.2
17/06/2024,639.64,Mumbai,191,4,0.64,189.5,0.82,13.38,264.74,solar panels,Pixope,transportation,65.9
30/07/2024,409.09,Bangalore,192,8,0.32,230.3,3.97,642.2,164.74,wind mill,Linkbuzz,governmental,64.7
06/03/2025,290.37,Delhi,193,1,0.99,160.2,3.05,359.74,904.58,biomass,Tagfeed,transportation,41.4
06/06/2023,409.22,Kolkata,194,6,0.82,103.6,9.49,921.11,699.51,natural gas,Eire,transportation,85.8
27/09/2023,856.62,Bangalore,195,9,0.63,173.4,8.85,127.03,627.24,biomass,Shuffledrive,residential,90.5
14/12/2022,4.83,Chennai,196,10,0.43,145.1,3.91,401.78,119.76,wind mill,Gabtype,commercial,56.8
02/09/2023,164.15,Kolkata,197,2,0.21,207.1,3.95,630.87,790.43,natural gas,Rooxo,residential,84.7
06/12/2023,665.77,Delhi,198,9,0.74,133.3,1,131.99,395.37,nuclear,Kazio,governmental,42.9
02/12/2024,638.3,Mumbai,199,5,0.06,145.2,3.12,233.17,967.83,natural gas,Quimm,commercial,97.6
17/03/2025,461.26,Kolkata,200,3,0.84,168.5,8.76,806.52,845.39,wind mill,Skinder,industrial,73.4
24/09/2023,342.41,Kolkata,201,2,0.13,141.9,9.85,779.36,314.19,biomass,Photospace,industrial,70.8
09/04/2023,690.47,Kolkata,202,9,0.79,136.4,3.32,477.54,201.32,nuclear,Photobean,governmental,64.9
27/09/2023,262.6,Delhi,203,10,0.89,184.5,4.74,180.52,432.3,nuclear,Voonte,commercial,7.2
29/09/2024,645.29,Kolkata,204,7,0.81,132.1,4.24,792.43,190.69,natural gas,Meevee,industrial,16.4
30/03/2024,931.66,Mumbai,205,5,0.35,152.6,4.99,27.13,10.04,biomass,Nlounge,governmental,98.3
01/03/2024,668.64,Kolkata,206,5,0.35,121.8,0.07,191.97,417.18,wind mill,Devshare,governmental,78.4
13/07/2024,744.89,Kolkata,207,6,0.39,151.5,0.09,903.96,883.37,wind mill,Jabberbean,industrial,85.5
25/09/2023,607.81,Chennai,208,8,0.61,178.6,5.04,239.36,872.74,natural gas,Muxo,residential,30.6
26/08/2024,705.57,Mumbai,209,8,0.45,145.9,4.79,856.07,449.23,solar panels,Gevee,governmental,13.2
05/12/2022,381.48,Mumbai,210,5,0.39,193.8,4.72,995.37,109.88,nuclear,Dynazzy,transportation,3.1
22/02/2024,231.4,Delhi,211,3,0.98,125.3,7.12,428.94,5.64,biomass,Aibox,governmental,9.5
03/03/2025,192.23,Bangalore,212,8,0.48,145.3,1.6,27.87,527.73,biomass,Yabox,industrial,36.8
29/01/2023,301.55,Chennai,213,3,0.06,217.2,9.86,626.34,508.72,biomass,Livefish,industrial,8.9
12/06/2024,559.85,Chennai,214,2,0.51,211.7,4.94,849.95,918.98,wind mill,Agimba,governmental,63.6
19/06/2023,896.58,Delhi,215,9,0.65,118.4,8.95,251.6,697.83,wind mill,Zoombeat,commercial,70.7
07/04/2024,322.48,Kolkata,216,8,0.24,212.2,1.04,18.71,714,natural gas,Yodel,governmental,20.5
06/11/2024,45.88,Chennai,217,10,0.71,220.5,0.95,856.11,133.23,nuclear,Vimbo,commercial,11.8
13/09/2024,291.69,Chennai,218,8,0.95,227.1,7.57,11.28,569.78,nuclear,Linkbuzz,transportation,67.7
18/06/2024,418.63,Bangalore,219,7,0.41,117.1,9.65,719.67,511.41,biomass,Centidel,industrial,35.3
21/04/2024,985.24,Delhi,220,6,0.97,191.9,5.41,859.89,43.14,wind mill,Linklinks,commercial,59.8
07/01/2025,931.47,Bangalore,221,4,0.28,236.4,4.23,397.8,934.66,biomass,Shuffledrive,industrial,20.2
05/05/2023,855.21,Mumbai,222,9,0.1,100.1,9.7,460.96,263.51,natural gas,Rooxo,industrial,42.8
16/03/2023,739.33,Mumbai,223,10,0.22,131,6.92,776.61,894.29,nuclear,Flipstorm,industrial,67.8
05/10/2023,354.29,Delhi,224,2,0.75,228.8,6.25,766.59,93.48,nuclear,Omba,commercial,47.1
18/03/2024,769.89,Kolkata,225,9,0.04,170.2,4.86,185.72,230.33,solar panels,Quaxo,transportation,82.7
09/09/2024,789.84,Kolkata,226,1,0.21,202.9,8.23,996.06,841.43,nuclear,Jabberstorm,commercial,87.7
15/07/2023,934.14,Delhi,227,9,0.72,213.7,1.22,71.36,227.53,solar panels,Edgeify,transportation,85.1
03/12/2024,869.25,Mumbai,228,6,0.75,210.4,3.47,160.88,211.25,nuclear,Demivee,industrial,54.4
11/01/2023,720.28,Chennai,229,7,0.87,112.8,6.1,473.42,937.42,biomass,Oyoba,transportation,99.5
04/02/2024,97.01,Bangalore,230,10,0.11,132.9,0.21,65.18,685.17,biomass,Aimbu,transportation,25.7
29/09/2024,306.95,Bangalore,231,8,0.3,232.6,4.57,970.94,742.95,natural gas,Dynazzy,transportation,62.4
18/04/2025,10.8,Kolkata,232,3,0.58,128.7,0.2,173.39,958.72,wind mill,Yambee,commercial,5
26/12/2024,121.99,Kolkata,233,7,0.72,182.1,1.14,95.77,952.2,biomass,Wordpedia,residential,17.1
19/12/2023,813.74,Delhi,234,2,0.81,186.2,7.08,688.59,752.55,wind mill,Oozz,industrial,53.2
04/08/2023,131.21,Kolkata,235,10,0.91,168.4,8.38,873.78,304.96,solar panels,Oyoloo,transportation,31.2
20/02/2025,682.65,Mumbai,236,5,0.56,174.3,4.38,966.14,581.49,solar panels,Zooveo,governmental,69
